nohup: ignoring input
[DeDL/SDL] Epoch 1/1000, train MSE=75.8613
[DeDL/SDL] Epoch 2/1000, train MSE=75.5342
[DeDL/SDL] Epoch 3/1000, train MSE=75.2065
[DeDL/SDL] Epoch 4/1000, train MSE=74.8718
[DeDL/SDL] Epoch 5/1000, train MSE=74.5231
[DeDL/SDL] Epoch 6/1000, train MSE=74.1517
[DeDL/SDL] Epoch 7/1000, train MSE=73.7481
[DeDL/SDL] Epoch 8/1000, train MSE=73.3037
[DeDL/SDL] Epoch 9/1000, train MSE=72.8083
[DeDL/SDL] Epoch 10/1000, train MSE=72.2508
[DeDL/SDL] Epoch 11/1000, train MSE=71.6288
[DeDL/SDL] Epoch 12/1000, train MSE=70.9317
[DeDL/SDL] Epoch 13/1000, train MSE=70.1498
[DeDL/SDL] Epoch 14/1000, train MSE=69.2683
[DeDL/SDL] Epoch 15/1000, train MSE=68.2785
[DeDL/SDL] Epoch 16/1000, train MSE=67.1611
[DeDL/SDL] Epoch 17/1000, train MSE=65.8855
[DeDL/SDL] Epoch 18/1000, train MSE=64.4365
[DeDL/SDL] Epoch 19/1000, train MSE=62.7636
[DeDL/SDL] Epoch 20/1000, train MSE=60.8395
[DeDL/SDL] Epoch 21/1000, train MSE=58.5899
[DeDL/SDL] Epoch 22/1000, train MSE=56.0161
[DeDL/SDL] Epoch 23/1000, train MSE=53.0772
[DeDL/SDL] Epoch 24/1000, train MSE=49.7939
[DeDL/SDL] Epoch 25/1000, train MSE=46.2563
[DeDL/SDL] Epoch 26/1000, train MSE=42.5645
[DeDL/SDL] Epoch 27/1000, train MSE=38.7748
[DeDL/SDL] Epoch 28/1000, train MSE=34.9624
[DeDL/SDL] Epoch 29/1000, train MSE=31.2015
[DeDL/SDL] Epoch 30/1000, train MSE=27.5380
[DeDL/SDL] Epoch 31/1000, train MSE=24.0292
[DeDL/SDL] Epoch 32/1000, train MSE=20.7138
[DeDL/SDL] Epoch 33/1000, train MSE=17.6130
[DeDL/SDL] Epoch 34/1000, train MSE=14.7918
[DeDL/SDL] Epoch 35/1000, train MSE=12.2616
[DeDL/SDL] Epoch 36/1000, train MSE=10.0743
[DeDL/SDL] Epoch 37/1000, train MSE=8.1565
[DeDL/SDL] Epoch 38/1000, train MSE=6.6062
[DeDL/SDL] Epoch 39/1000, train MSE=5.3611
[DeDL/SDL] Epoch 40/1000, train MSE=4.3988
[DeDL/SDL] Epoch 41/1000, train MSE=3.6806
[DeDL/SDL] Epoch 42/1000, train MSE=3.2115
[DeDL/SDL] Epoch 43/1000, train MSE=2.8891
[DeDL/SDL] Epoch 44/1000, train MSE=2.7142
