combo_index,ATE_hat_LR,SE_LR
0,0.0,0.0
1,-0.31112033128738403,7.62943930254778e-09
2,-0.049679916352033615,7.48043138543153e-09
3,-0.36080023646354675,8.600727241514505e-09
4,0.5315898656845093,9.149609958569727e-09
5,0.22046954929828644,8.447324617577578e-09
6,0.4819099009037018,8.824700081788706e-09
7,0.17078961431980133,6.061948276681051e-09
8,1.0843405723571777,9.648794652150627e-09
9,0.7732203006744385,8.518713734417815e-09
10,1.0346606969833374,8.973881193696798e-09
11,0.7235403060913086,1.047676789767138e-08
12,1.615930438041687,7.066363494345751e-09
13,1.3048100471496582,9.695833469436366e-09
14,1.5662503242492676,1.1266676480659044e-08
15,1.255130410194397,1.1724303305982176e-08
